cue;frequency;classification
politician;28986;politics
entrepreneur;7826;business
physician;7586;general
business magnate;6814;business
oncologist;6773;general
game show host;6771;entertainment
lawyer;6080;general
association football player;5751;sport
writer;4889;entertainment
singer;4597;entertainment
screenwriter;3924;entertainment
painter;3846;entertainment
academic;3834;general
statesperson;3822;politics
university teacher;3813;general
actor;3718;entertainment
journalist;3287;general
film director;3061;entertainment
teacher;3043;general
jurist;2736;general
historian;2452;general
film actor;2389;entertainment
researcher;2225;general
television presenter;2225;entertainment
sport cyclist;1967;sport
autobiographer;1901;entertainment
film producer;1840;entertainment
diplomat;1822;politics
economist;1736;business
television actor;1723;entertainment
musician;1710;entertainment
composer;1631;entertainment
catholic priest;1631;general
association football manager;1598;sport
songwriter;1598;entertainment
columnist;1588;entertainment
military personnel;1512;general
businessperson;1417;business
record producer;1326;entertainment
television producer;1270;entertainment
poet;1197;entertainment
botanist;1168;general
trade unionist;1136;general
chemist;1111;general
engineer;1099;general
presenter;1048;entertainment
priest;1046;general
singer-songwriter;1045;general
coach;1043;sport
publisher;1013;entertainment
tennis player;993;sport
radio personality;988;entertainment
drawer;883;entertainment
draughtswoman;883;general
stage actor;867;entertainment
judge;858;general
judoka;851;sport
model;847;entertainment
engraver;845;entertainment
voice actor;836;entertainment
minister;836;politics
photographer;795;entertainment
artist;776;entertainment
cleric;770;general
comics artist;761;entertainment
presbyter;760;general
physicist;742;general
author;730;entertainment
stunt performer;726;entertainment
intelligence agent;702;general
sculptor;702;entertainment
sambo fighter;672;sport
officer;669;general
military officer;669;general
pianist;646;entertainment
philosopher;643;general
art collector;603;entertainment
speed skater;586;sport
guitarist;577;entertainment
banker;552;business
cue sports player;509;sport
disc jockey;509;entertainment
civil service;509;general
civil servant;509;general
architect;484;general
computer scientist;483;general
art historian;460;general
political scientist;434;general
illustrator;420;entertainment
military leader;415;general
novelist;404;entertainment
racing automobile driver;404;sport
jazz musician;402;entertainment
celebrity;393;entertainment
caricaturist;377;entertainment
playwright;375;entertainment
scientist;369;general
aristocrat;369;general
